Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Link Stats
28th of April 2020,Thunder Logic,AA,0,2,eFire Master League North America Season 2,https://www.hltv.org//stats/matches/73666/thunder-logic-vs-aa
28th of April 2020,W7M,DETONA,2,0,CLUTCH Season 2,https://www.hltv.org//stats/matches/73665/w7m-vs-detona
27th of April 2020,Alma,Keyd,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73664/alma-vs-keyd
27th of April 2020,AA,ETHEREAL,2,1,eFire Master League North America Season 2,https://www.hltv.org//stats/matches/73663/aa-vs-ethereal
27th of April 2020,Keep the Comms Up,Thunder Logic,1,2,eFire Master League North America Season 2,https://www.hltv.org//stats/matches/73662/keep-the-comms-up-vs-thunder-logic
26th of April 2020,BOOM,Isurus,2,0,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73661/boom-vs-isurus
26th of April 2020,Movistar Riders,c0ntact,2,1,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73660/movistar-riders-vs-c0ntact
26th of April 2020,G2,FaZe,0,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73659/g2-vs-faze
26th of April 2020,Nexus,LF Org,2,1,Betano Masters,https://www.hltv.org//stats/matches/73658/nexus-vs-lf-org
26th of April 2020,North,mousesports,2,0,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73657/north-vs-mousesports
26th of April 2020,Heretics,ENCE,2,0,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73656/heretics-vs-ence
25th of April 2020,Liquid,MIBR,2,0,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73655/liquid-vs-mibr
25th of April 2020,Bad News Bears,FURIA,0,2,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73654/bad-news-bears-vs-furia
25th of April 2020,Envy,Yeah,2,0,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73653/envy-vs-yeah
25th of April 2020,Imperial,Isurus,1,2,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73652/imperial-vs-isurus
25th of April 2020,Complexity,Vitality,1,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73651/complexity-vs-vitality
25th of April 2020,Astralis,fnatic,1,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73650/astralis-vs-fnatic
24th of April 2020,Orgless,Cloud9,1,2,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73649/orgless-vs-cloud9
24th of April 2020,9z,DETONA Pound,2,0,ESL Brazil Premier League Season 12,https://www.hltv.org//stats/matches/73648/9z-vs-detona-pound
24th of April 2020,Evil Geniuses,100 Thieves,1,2,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73647/evil-geniuses-vs-100-thieves
24th of April 2020,Gen.G,Triumph,2,1,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73646/geng-vs-triumph
24th of April 2020,Isurus,BOOM,0,2,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73645/isurus-vs-boom
24th of April 2020,RED Canids,Imperial,0,2,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73644/red-canids-vs-imperial
24th of April 2020,Dignitas,NiP,0,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73643/dignitas-vs-nip
24th of April 2020,Copenhagen Flames,c0ntact,2,1,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73642/copenhagen-flames-vs-c0ntact
24th of April 2020,mousesports,Movistar Riders,0,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73641/mousesports-vs-movistar-riders
24th of April 2020,Hard Legion,Nemiga,0,2,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73640/hard-legion-vs-nemiga
23rd of April 2020,FURIA,Envy,2,1,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73639/furia-vs-envy
23rd of April 2020,Liquid,Bad News Bears,2,1,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73638/liquid-vs-bad-news-bears
23rd of April 2020,Yeah,MIBR,0,2,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73637/yeah-vs-mibr
23rd of April 2020,RED Canids,Isurus,1,2,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73636/red-canids-vs-isurus
23rd of April 2020,GODSENT,G2,0,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73635/godsent-vs-g2
23rd of April 2020,BOOM,Imperial,2,0,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73634/boom-vs-imperial
23rd of April 2020,SKADE,Nordavind,1,2,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73633/skade-vs-nordavind
23rd of April 2020,Dignitas,Heretics,1,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73632/dignitas-vs-heretics
23rd of April 2020,FaZe,North,2,1,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73631/faze-vs-north
23rd of April 2020,Espada,Endpoint,2,1,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73630/espada-vs-endpoint
23rd of April 2020,Keyd,DETONA,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73629/keyd-vs-detona
23rd of April 2020,Soberano,Alma,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73628/soberano-vs-alma
22nd of April 2020,Triumph,Cloud9,2,1,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73627/triumph-vs-cloud9
22nd of April 2020,Gen.G,100 Thieves,2,0,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73626/geng-vs-100-thieves
22nd of April 2020,Evil Geniuses,Orgless,2,0,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73625/evil-geniuses-vs-orgless
22nd of April 2020,Vitality,NiP,1,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73624/vitality-vs-nip
22nd of April 2020,BOOM,RED Canids,2,1,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73623/boom-vs-red-canids
22nd of April 2020,Isurus,Imperial,2,1,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73622/isurus-vs-imperial
22nd of April 2020,Complexity,Astralis,1,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73621/complexity-vs-astralis
22nd of April 2020,ENCE,fnatic,2,0,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73620/ence-vs-fnatic
22nd of April 2020,Illuminar,Endpoint,0,2,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73619/illuminar-vs-endpoint
22nd of April 2020,pro100,Espada,0,2,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73618/pro100-vs-espada
21st of April 2020,Secret,Hard Legion,2,1,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73617/secret-vs-hard-legion
21st of April 2020,Nemiga,Japaleno,2,0,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73616/nemiga-vs-japaleno
21st of April 2020,W7M,Isurus,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73615/w7m-vs-isurus
21st of April 2020,Envy,Bad News Bears,0,2,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73614/envy-vs-bad-news-bears
20th of April 2020,Bravos,RED Canids,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73613/bravos-vs-red-canids
20th of April 2020,Spirit,forZe,2,0,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73612/spirit-vs-forze
20th of April 2020,Heretics,SKADE,2,1,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73611/heretics-vs-skade
20th of April 2020,ZIGMA,Beyond,0,2,DreamHack Masters Spring 2020 - Asia Closed Qualifier,https://www.hltv.org//stats/matches/73610/zigma-vs-beyond
20th of April 2020,Chiefs,Rooster,2,1,DreamHack Masters Spring 2020 - Oceania Closed Qualifier,https://www.hltv.org//stats/matches/73609/chiefs-vs-rooster
20th of April 2020,Gambit Youngsters,Nordavind,2,0,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73608/gambit-youngsters-vs-nordavind
20th of April 2020,Neverest,NOORG,1,2,Liga DELL #4 - APR/20,https://www.hltv.org//stats/matches/73607/neverest-vs-noorg
