Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Player Team,Player,KD,ADR,KAST,Rating,Map,Overall Kills,Overall Deaths,Overal Kill / Death,Overall Kill / Round,Overall Rounds with Kills,Overall Kill - Death Diff,Opening Total Kills,Opening Total Deaths,Opening Kill Ratio,Opening Kill rating,Opening Team win percent after 1st kill,Opening 1st kill in won rounds
28th of April 2020,Thunder Logic,AA,0,2,eFire Master League North America Season 2,Thunder Logic,Bryce 'PureR' Lovell,26-35,-9,76.5,56.5%,All maps,2891,2766,1.05,0.77,1904,125,423,390,1.08,1.06,67.8%,15.9%
28th of April 2020,Thunder Logic,AA,0,2,eFire Master League North America Season 2,Thunder Logic,Andy 'Andersin' Collins,31-40,-9,71.1,60.9%,All maps,1678,1762,0.95,0.7,1106,-84,241,292,0.83,0.96,66.4%,13.7%
28th of April 2020,Thunder Logic,AA,0,2,eFire Master League North America Season 2,Thunder Logic,Brian 'Brian2K' Ladron De Guevara,24-38,-14,58.5,52.2%,All maps,1514,1326,1.14,0.77,1003,188,235,185,1.27,1.11,69.8%,17.2%
28th of April 2020,Thunder Logic,AA,0,2,eFire Master League North America Season 2,Thunder Logic,Sean 'Inseaniac' Morrison,23-38,-15,60.6,58.7%,All maps,402,503,0.8,0.57,290,-101,42,64,0.66,0.81,66.7%,8.7%
28th of April 2020,Thunder Logic,AA,0,2,eFire Master League North America Season 2,Thunder Logic,Brandon 'Sharkie' Ly,25-37,-12,55.0,54.3%,All maps,627,816,0.77,0.58,438,-189,75,124,0.6,0.82,73.3%,11.4%
28th of April 2020,Thunder Logic,AA,0,2,eFire Master League North America Season 2,AA,Robert 'robby' Brown,45-26,19,98.5,78.3%,All maps,4372,4429,0.99,0.68,3016,-57,488,519,0.94,0.91,71.5%,11.2%
28th of April 2020,Thunder Logic,AA,0,2,eFire Master League North America Season 2,AA,Lucas 'Fiziq' Blow,39-25,14,89.5,82.6%,All maps,2621,3115,0.84,0.59,1847,-494,422,448,0.94,0.98,69.7%,14.5%
28th of April 2020,Thunder Logic,AA,0,2,eFire Master League North America Season 2,AA,Brenden 'stellar' McGrath,35-25,10,84.1,87.0%,All maps,6953,6928,1.0,0.67,4798,25,845,837,1.01,0.94,69.3%,11.5%
28th of April 2020,Thunder Logic,AA,0,2,eFire Master League North America Season 2,AA,Matthew 'nero' Seymour,38-29,9,87.8,78.3%,All maps,1711,1624,1.05,0.73,1141,87,289,242,1.19,1.11,67.1%,17.5%
28th of April 2020,Thunder Logic,AA,0,2,eFire Master League North America Season 2,AA,Damian 'droid' Boulware,31-24,7,65.8,69.6%,All maps,2778,2973,0.93,0.65,1960,-195,337,396,0.85,0.91,71.5%,11.9%
28th of April 2020,W7M,DETONA,2,0,CLUTCH Season 2,W7M,Rinaldo 'ableJ' Moda Junior,44-39,5,85.5,67.8%,All maps,6240,5958,1.05,0.66,4364,282,756,768,0.98,0.93,72.6%,10.6%
28th of April 2020,W7M,DETONA,2,0,CLUTCH Season 2,W7M,Antonio 'real' Oliveira,37-36,1,74.5,69.5%,All maps,5883,5560,1.06,0.69,3982,323,863,855,1.01,1.01,69.5%,13.5%
28th of April 2020,W7M,DETONA,2,0,CLUTCH Season 2,W7M,Rafael 'raafa' Lima,38-38,0,61.2,71.2%,All maps,9293,8491,1.09,0.69,6335,802,1547,1331,1.16,1.07,76.4%,16.8%
28th of April 2020,W7M,DETONA,2,0,CLUTCH Season 2,W7M,Felipe 'skullz' Medeiros,43-42,1,74.9,76.3%,All maps,2309,2211,1.04,0.7,1544,98,294,315,0.93,0.95,74.5%,12.9%
28th of April 2020,W7M,DETONA,2,0,CLUTCH Season 2,W7M,Fillipe 'pancc' Martins,40-37,3,74.8,67.8%,All maps,7738,7076,1.09,0.74,5081,662,1181,1136,1.04,1.05,74.5%,16.1%
28th of April 2020,W7M,DETONA,2,0,CLUTCH Season 2,DETONA,Lucas 'Lucaozy' Neves,51-38,13,84.1,69.5%,All maps,3076,3117,0.99,0.65,2137,-41,388,478,0.81,0.91,72.9%,11.8%
28th of April 2020,W7M,DETONA,2,0,CLUTCH Season 2,DETONA,André 'tiburci0' Rossetto,48-36,12,83.4,74.6%,All maps,6251,5845,1.07,0.66,4359,406,740,624,1.19,0.95,73.6%,10.9%
28th of April 2020,W7M,DETONA,2,0,CLUTCH Season 2,DETONA,Matheus 'Tuurtle' Anhaia,33-35,-2,65.4,67.8%,All maps,6701,6915,0.97,0.68,4532,-214,1121,1172,0.96,1.04,74.0%,16.4%
28th of April 2020,W7M,DETONA,2,0,CLUTCH Season 2,DETONA,Vinicius 'vsm' Moreira,28-44,-16,61.8,67.8%,All maps,7116,5776,1.23,0.81,4545,1340,1237,1024,1.21,1.18,74.9%,19.6%
28th of April 2020,W7M,DETONA,2,0,CLUTCH Season 2,DETONA,Henrique 'rikz' Waku,32-49,-17,68.0,59.3%,All maps,947,1197,0.79,0.57,667,-250,128,189,0.68,0.86,68.0%,11.6%
